german,english
alle,all
denn,then
mann,man
tun,do
ihm,him
zum,for the
gehen,go
sehen,see
vielleicht,perhaps
einem,one
wer,who
ihre,her
diese,this
euch,you
einer,one
komm,come
über,above
gibt,gives
okay,OK
wissen,knowledge
deine,your
müssen,must
soll,should
werde,become
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,away
würde,would
tut,does
am,at the
des,of
einfach,simply
leben,life
hatte,had
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,with it
ganz,quite
wäre,were
wollte,wanted
weißt,know
ok,OK
sicher,secure
gesagt,said
frau,woman
nun,so
bis,until
wurde,became
leid,sorrow
na,n / A
kannst,can
macht,might
dieser,this
zurück,return
lassen,permit
hallo,Hello
meinen,think
gott,God
seine,his
hätte,had
zwei,two
könnte,could
genau,Exactly
waren,were
zur,to the
lass,let
klar,clear
morgen,morning
leute,people
vater,father
schön,nice
glaube,believe
mr.,Mr.
ab,away
gerade,straight
tag,Day
gesehen,seen
reden,talk
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,if
keinen,none
mutter,mother
raus,out
gemacht,made
paar,pair